"Domain : Align, Plan, and Organize",,,,,,,,,
Management Objective : APO12 - Managed Risk,,,,,,,,,
Capability Level 2,,,,,,,,,
,APO12.01 Collect data.,,,,,,,,
,,1,"Metode untuk pengumpulan, klasifikasi, dan analisis data terkait risiko TI telah ditetapkan.",,,,,,
,,2,Data terkait risiko TI yang relevan dan signifikan di lingkungan operasi internal dan eksternal perusahaan telah dicatat.,,,,,,
,APO12.03 Maintain a risk profile,,,,,,,,
,,1,"Terdapat inventarisasi proses bisnis dan dokumentasi ketergantungannya pada proses manajemen layanan TI dan sumber daya infrastruktur TI

(Serta telah dilakukan identifikasi personil, aplikasi, infrastruktur, fasilitas, catatan manual yang penting, vendor, pemasok, untuk mendukung pelaksanaan proses bisnis)",,,,,,✓
,,2,"Telah terdapat penentuan layanan TI dan sumber daya infrastruktur TI mana yang kritikal untuk menopang operasional proses bisnis, disertai analisis dependensinya.",,,,,,✓
,,3,"Skenario risiko saat initelah di agregasi berdasarkan kategori, lini bisnis, dan area fungsional",,,,,,✓
,APO12.05 Define a risk management action portfolio.,,,,,,,,
,,1,Pemeliharaan terhadap pencatatan aktivitas pengendalian yang ada untuk memitigasi risiko dan memungkinkan pengambilan risiko sesuai dengan selera risko (risk appetite) dan toleransi risiko (mengklasifikasikan aktivitas pengendalian dan memetakannya ke skenario risiko TI yang spesifik dan skenario gabungan dari risiko TI) telah diterapkan.,,,,,,✓
Capability Level 3,,,,,,,,,
,APO12.01 Collect data.,,,,,,,,
,,1,Taksonomi risiko untuk definisi skenario risiko dan kategori dampak serta kemungkinan yang konsisten telah ditetapkan.,,,,,,
,,2,"Pencatatan data tentang peristiwa risiko yang telah menyebabkan atau mungkin menyebabkan dampak bisnis sesuai kategori dampak yang ditetapkan dalam taksonomi risiko telah diterapkan. Data yang relevan dari isu, insiden, masalah, dan investigasi terkait telah di capture",,,,,,
,APO12.02 Analyze risk.,,,,,,,,
,,1,Ruang lingkup analisis risiko (dengan mempertimbangkan semua faktor risiko dan/atau tingkat  kritikalitas aset dari sudut pandang bisnis) telah ditentukan.,,,,,,
,,2,"Telah dilakukan proses penyusunan dan pembaharuan skenario risiko TI secara berkala, dengan  memperhatikan eksposur kerugian terkait TI dan skenario mengenai risiko reputasi, termasuk skenario dan/atau peristiwa ancaman, serta cara pengendaliannya.",,,,,,
,,3,"Frekuensi kemungkinan dan besarnya kerugian/keuntungan yang terkait dengan skenario risiko TI telah diperkirakan, dengan mempertimbangkan semua faktor risiko yang berlaku",,,,,,
,,4,Komparasi terkait risiko saat ini (eksposur kerugian terkait TI) dengan selera risiko dan toleransi risiko yang dapat diterima /tidak dapat diterima telah dilakukan.,,,,,,
,,5,Usulan respon terhadap risiko untuk risiko-risiko yang melebihi selera risiko (risk appetite) dan tingkat toleransi risiko telah diberikan.,,,,,,
